address,area,desc,floor,name,price,room,toward,unit,year
香堤澜湾青剑湖-和顺路与扬庭路交汇处,96.26㎡,",满二,",中层（共20层）,"园区香堤澜湾正3房,南北通透,楼层好,位置好,视野好!",265万,3室2厅,南北向,27530元/㎡,2015年建
阳光城平江悦平江街道-姑苏人民路和莲升路交汇处向西50米,23㎡,,中层（共21层）,"阳光城平江悦,9米挑高万达商圈旁双地铁口精装交付",38万,1室1厅,南向,16522元/㎡,2016年建
诚河新旅城木渎-塔园路55号(塔园路和向阳路交汇处),94.5㎡,",满五,",低层（共13层）,新旅城 精装修 94.5㎡ 只要198万 满五年 真是图片,198万,2室2厅,南向,20952元/㎡,2015年建
东门町公寓木渎-珠江南路花苑东路交界,63㎡,",满五,商住两用,交通便利,",中层（共14层）,"东门町豪华装修 110万 南北通透 挑高5.8米,民用水电",110万,2室2厅,南北向,17460元/㎡,2013年建
永新大成珺木渎-金枫路980号,89.8㎡,",满五,随时看房,",低层（共26层）,"啦!品质小区大成郡精装边户三房,综合各项税费少,看房方便",204万,3室2厅,南北向,22717元/㎡,2016年建
天域新城-星汉街188号(星汉街与苏绣路交汇处),141.39㎡,",优质教育,,距1号线星海广场站约479米,",高层（共23层）,"天域东区 830万 3室2厅2卫 毛坯,南北通透 安静 看园",730万,3室2厅,南向,51630元/㎡,2014年建
珠江首府木渎-苏福路与珠江路交汇处向南100米(凯马广场附,122.4㎡,",满二,",中层（共18层）,珠江首 府 四开间朝南 通透精装好房 急售 房东诚心看中可谈,252万,4室2厅,南北向,20588元/㎡,2005年建
太湖东路小区长桥街道-吴中区太湖东路(散盘),73.5㎡,",满五,交通便利,繁华商圈,,距4号线宝带路站约866米,",中层（共6层）,苏苑月浜太湖东路3楼户型通透间间有窗房源,150万,2室1厅,南向,20408元/㎡,1997年建
苏苑新村苏苑街道-花卉巷20弄(迎春路与苏苑街交汇处),72㎡,",满五,优质教育,带车位,交通便利,,距4号线团结桥站约759米,",中层（共5层）,新出!团结桥地铁站苏苑新村全明三点户型正气苏苑实小带独库,155万,3室1厅,南向,21528元/㎡,2000年建
阳山花苑阳山-建林路802号(阳山花苑公交站附近),90㎡,",满二,",高层（共5层）,阳山花苑一区 精装自住 家具家电全留 送朝南大车库 随时看房,168万,3室2厅,南北向,18667元/㎡,2015年建
