address,area,desc,name,phone,room,status,unit
"[中环以外]吴中子胥路北侧,孙武路东侧",93~106平米,"普通住宅,品牌地产,小户型,地铁沿线",旭辉公元系萃庭,400-890-0000 转 899796,3居,待售,价格待定广告
[请选择]新区文昌路与大同路交汇处,98~141平米,"普通住宅,品牌地产",旭辉宽阅雅苑,400-890-0000 转 872252,3居/4居,待售,24000元/㎡起广告
[中环]相城青龙港路与相城大道交汇处,96~140平米,"普通住宅,品牌地产",美的云筑,400-890-0000 转 890062,3居/4居,待售,价格待定
[请选择]吴江东太湖大道与夏蓉街交汇处往南150米,130~143平米,"别墅,品牌地产",半岛印象花园,400-890-0000 转 873610,4居,待售,价格待定
[中环以外]吴江华盛大道与华天路交汇处,90~125平米,"普通住宅,品牌地产",万和悦花园,400-890-0000 转 895830,3居/4居,待售,8990元/㎡
[内环]吴中枫瑞路89号,117~170平米,"普通住宅,品牌地产",长枫雅苑,400-890-0000 转 890057,3居/4居,待售,价格待定
[请选择]相城黄桥街道华元路北、旺湖路西(黄桥中心幼儿园西约200米),95~208平米,"普通住宅,低密居所,公园地产",东原千浔,400-890-0000 转 809573,3居/4居,待售,25000元/㎡起
[中环]相城康元路1188号(近相城大道),95~120平米,"普通住宅, 花园洋房,品牌地产",东原阅境,400-890-0000 转 898552,3居/4居,待售,24500元/㎡
[中环]吴江太湖新城中心区秋枫街以东、庞杨路以北门牌号666号,,"普通住宅, 花园洋房,品牌地产",新希望锦麟云境,400-890-0000 转 840210,新希望锦麟云境示范区将于6月9日公开,待售,价格待定
[请选择]新区中环西线与通浒路交汇处(浒墅关大润发北面),89~140平米,"普通住宅, 大平层,品牌地产",首开金茂熙悦,400-890-0000 转 865003,3居/4居,待售,24000元/㎡
[请选择]吴江梅石路与体育路交汇处(吴江公园西南约1000米),128~220平米,"普通住宅,品牌地产",吴江鑫控锦源,400-890-0000 转 836691,3居/4居/5居,待售,360万元/套起
[请选择]相城望亭镇鹤溪路与光明街交汇处,88~109平米,"普通住宅, 花园洋房,品牌地产,低总价",禹洲嘉荟星岛,400-890-0000 转 875069,2居/3居,待售,16500元/㎡起
[请选择]吴江东太湖大道9999号,60~220平米,"商住楼,品牌地产",绿地太湖东岸花园,400-890-0000 转 802134,1居/2居/4居,待售,20000元/㎡起
吴江经济技术开发区江陵东路689号,92~129平米,普通住宅,千邑悦庭,400-890-0000 转 809654,3居/4居,待售,16500元/㎡
[请选择]吴中金鸡湖大道东与重村北路交汇处(宏润大厦西1000米),93~115平米,"普通住宅, 花园洋房,品牌地产,湖景地产",阳光城丽景湾,400-890-0000 转 804297,3居,待售,11500元/㎡
园区独墅湖高教区林泉街东(海德公园小区接待会馆),84~170平米,"普通住宅,教育地产",建屋海德公园,400-890-0000 转 656278,2居/3居/4居,待售,价格待定往期24500元/㎡
[中环]新区白马涧·华山路与建林路交汇处东300米,123~191平米,"联排, 花园洋房,品牌地产",龙湖中锐景粼天著花园,400-890-0000 转 897337,4居/5居,待售,23000元/㎡起
[请选择]吴江开平路与夏蓉街交汇口(新城吾悦广场对面),110~141平米,"普通住宅,品牌地产",苏州湾天铂,400-890-0000 转 836873,4居,待售,14000元/㎡
[请选择]吴中蒯祥路与梅舍路交汇处(环太湖大道北侧500米),95~140平米,"普通住宅,湖景地产,旅游地产",华丽家族太湖汇景,400-890-0000 转 810262,3居/4居,待售,价格待定往期11002元/㎡
[请选择]吴中金鸡湖大道与长虹北路交汇处(和成卫浴东边),,"普通住宅,品牌地产",南山维拉,400-890-0000 转 816780,南山维拉2021年交房,待售,15000元/㎡起
[请选择]吴江中山南路和芦荡路交汇处向东200米,89~135平米,"普通住宅,品牌地产",尚林华庭,400-890-0000 转 866605,3居,在售,18500元/㎡
[请选择]吴江江厍路与苏州河路交汇处,116~162平米,"普通住宅,品牌地产",银城万科苏河湾,400-890-0000 转 861057,3居/4居,在售,22000元/㎡起
[请选择]相城湘州路8号,116~156平米,"别墅,品牌地产",湖畔樾山-樾山,400-890-0000 转 843639,4居,在售,15000元/㎡
[请选择]吴中金鸡湖大道向东6公里,110~130平米,"普通住宅,品牌地产",旭辉和庭,400-890-0000 转 884617,3居,在售,价格待定周边18625元/㎡
[请选择]园区共耀路与星体街交汇处(苏州奥体中心东侧),,"普通住宅,品牌地产",共耀路68号,400-890-0000 转 869836,共耀路68号2019年5月加推,在售,40000元/㎡
[请选择]晨丰路和新城南路交汇处,93~112平米,"普通住宅,品牌地产,国际化社区",印象花园,400-890-0000 转 816262,3居,在售,14000元/㎡
